!C:\2020\Myanmar\Data\PARKDD\PARKDD724MCORRAUTOELECREMUBC.dat
0 4 8 12 -2.17777 0.0549204
4 12 48 56 -0.0240073 0.123095
4 12 44 52 -0.036701 0.0659646
4 12 52 60 -0.0288828 0.558834
4 12 56 64 -0.0213351 0.201086
4 16 56 68 -0.0394503 0.149905
4 16 68 80 -0.0289934 0.23208
4 16 64 76 -0.0276435 0.27686
4 16 76 88 -0.0182087 3.71314
4 16 72 84 -0.0274862 0.276238
4 16 84 96 -0.0157994 1.54585
4 16 80 92 -0.01675 0.575165
4 20 80 96 -0.0328839 0.971508
4 20 96 112 -0.0201497 0.477388
4 20 88 104 -0.0248094 0.385491
4 20 104 120 -0.0140832 0.397869
4 20 92 108 -0.0227428 0.634708
4 20 108 124 -0.0126308 0.475275
4 20 100 116 -0.0172045 0.82948
4 24 104 124 -0.0256223 0.399609
4 24 124 144 -0.0141914 0.0933688
4 24 112 132 -0.0199232 2.31192
4 24 132 152 -0.0128057 2.58809
4 24 116 136 -0.0176682 0.332055
4 24 120 140 -0.0155841 1.57116
4 24 128 148 -0.0134022 0.395437
4 28 128 152 -0.0175887 0.85891
4 28 152 176 -0.0138206 0.736341
4 28 136 160 -0.0156022 0.0975322
4 28 140 164 -0.0149627 0.0858077
4 28 144 168 -0.0139055 0.101762
4 28 148 172 -0.012865 0.0906708
4 28 156 180 -0.0120872 0.13899
4 32 152 180 -0.0171583 0.072008
4 32 180 208 -0.0138914 0.141099
4 32 160 188 -0.0163513 0.931578
4 32 164 192 -0.0141534 0.132062
4 32 168 196 -0.0150407 1.87296
4 32 172 200 -0.0114312 0.134671
4 32 176 204 -0.0115902 1.41497
4 36 176 208 -0.0156282 0.22071
4 36 184 216 -0.0121376 0.42661
4 36 188 220 -0.0126057 0.131053
4 36 192 224 -0.0150353 2.43318
4 36 196 228 -0.0134175 0.196317
4 36 200 232 -0.0134966 1.64002
4 36 204 236 -0.0130454 0.192672
4 40 200 236 -0.0172181 4.48685
8 12 16 20 -2.58757 0.0462224
8 12 20 24 -0.822376 0.0663826
8 12 24 28 -0.170102 0
8 12 28 32 -0.0602596 0.119062
8 12 32 36 -0.033116 0.046947
8 12 36 40 -0.0258893 11.3873
8 16 32 40 -0.182103 0.489357
8 16 40 48 -0.0666813 0.862724
8 16 44 52 -0.0494051 0.612059
8 16 52 60 -0.0261227 0.344343
8 16 48 56 -0.0366852 0.0324902
8 16 56 64 -0.0296508 0.207567
8 16 60 68 -0.0213351 0.591977
8 20 60 72 -0.041918 0.098731
8 20 72 84 -0.0289934 4.64651
8 20 80 92 -0.0189669 0.027689
8 20 76 88 -0.0276216 1.97115
8 20 88 100 -0.0159455 3.847
8 20 84 96 -0.0164364 1.65034
8 24 84 100 -0.0326472 3.5078
8 24 100 116 -0.0198046 0.969863
8 24 92 108 -0.024712 0.0416932
8 24 108 124 -0.0141173 0.319209
8 24 96 112 -0.0222111 1.62285
8 24 112 128 -0.0128388 2.3818
8 24 104 120 -0.0169966 0.160812
8 28 108 128 -0.02534 0.370699
8 28 128 148 -0.014204 0.897803
8 28 116 136 -0.0199167 0.0476208
8 28 136 156 -0.0128281 0.387182
8 28 120 140 -0.0176545 0.414552
8 28 124 144 -0.0157313 0.131388
8 28 132 152 -0.0134414 2.33925
8 32 132 156 -0.0177264 0.0985223
8 32 156 180 -0.0137603 0.0621947
8 32 140 164 -0.015738 1.87472
8 32 144 168 -0.0151177 0.115119
8 32 148 172 -0.0140064 1.11119
8 32 152 176 -0.0129415 0.0609927
8 32 160 184 -0.0120872 1.55233
8 36 156 184 -0.0171583 0.36738
8 36 184 212 -0.0138914 0.0878969
8 36 164 192 -0.0163831 1.21815
8 36 168 196 -0.014205 0.084606
8 36 172 200 -0.0150658 1.85578
8 36 176 204 -0.0114073 0.0544671
8 36 180 208 -0.0115843 3.08936
8 40 180 212 -0.0156125 0.147961
8 40 188 220 -0.0121376 2.92467
8 40 192 224 -0.0126057 0.177617
8 40 196 228 -0.0150353 0.766307
8 40 200 232 -0.0134175 0.517314
8 40 204 236 -0.0134966 0.215673
12 16 20 24 -7.6545 0.0441951
12 16 24 28 -0.768712 0.0317597
12 16 28 32 -0.170102 0.0810057
12 16 32 36 -0.0602596 0.160497
12 16 36 40 -0.0337298 0.464698
12 16 40 44 -0.0257915 3.90112
12 20 36 44 -0.185659 0.905187
12 20 44 52 -0.072468 2.7836
12 20 48 56 -0.0538514 0.333024
12 20 56 64 -0.0261545 5.72258
12 20 60 68 -0.0295619 0.477248
12 20 64 72 -0.023274 1.69151
12 24 64 76 -0.0442108 2.99347
12 24 76 88 -0.0309304 1.30569
12 24 72 84 -0.0310006 0.498084
12 24 84 96 -0.0197643 1.11449
12 24 80 92 -0.0276216 0.851609
12 24 92 104 -0.0160405 0.163562
12 24 88 100 -0.0163466 8.64723
12 28 88 104 -0.0321127 0.571864
12 28 104 120 -0.019818 0.696532
12 28 96 112 -0.0242747 0.134953
12 28 112 128 -0.0141173 0.131914
12 28 100 116 -0.021972 0.0890195
12 28 116 132 -0.0131432 0.108193
12 28 108 124 -0.0168399 0.057059
12 32 112 132 -0.0251918 0.0948938
12 32 132 152 -0.01424 0.291486
12 32 120 140 -0.0199296 0.0786524
12 32 140 160 -0.0128417 0.122099
12 32 124 144 -0.0176819 0.0577081
12 32 128 148 -0.01588 1.75335
12 32 136 156 -0.0134797 0.0617896
12 36 136 160 -0.0177191 0.341442
12 36 160 184 -0.0137081 0.183836
12 36 144 168 -0.0157322 0.0691014
12 36 148 172 -0.0152433 1.35276
12 36 152 176 -0.0140064 0.0890606
12 36 156 180 -0.0129415 1.87007
12 36 164 188 -0.0121186 0.154391
12 40 160 188 -0.0171912 0.206347
12 40 188 216 -0.0138914 0.731814
