!C:\2020\Myanmar\Data\kawpiphtaddsautorhoubc.dat
40 120 490 570 -0.0111022 2.90855
40 130 530 620 -0.0127127 3.55502
40 130 550 640 -0.0113553 2.7787
40 130 560 650 -0.00999291 4.62105
40 130 570 660 -0.00879318 3.51804
40 130 580 670 -0.00838475 0.054448
40 130 590 680 -0.00769805 1.09749
40 130 600 690 -0.00614776 1.38505
40 130 610 700 -0.00585314 2.11159
50 60 70 80 -4.66163 0.0513142
50 60 80 90 -0.764612 0.0515276
50 60 90 100 -0.186408 0.205851
50 60 100 110 -0.0620256 0.426003
50 60 110 120 -0.0273935 0.0267406
50 60 120 130 -0.0194703 9.52663
50 70 110 130 -0.120423 1.37708
50 70 130 150 -0.0439791 4.31491
50 70 140 160 -0.0357276 0.791635
50 70 150 170 -0.0323202 1.0153
50 70 170 190 -0.0155516 0.639632
50 70 180 200 -0.0248212 2.04351
50 80 180 210 -0.0485205 0.332174
50 80 210 240 -0.0322243 1.87683
50 80 200 230 -0.0448871 0.183775
50 80 230 260 -0.0196885 0.691855
50 80 220 250 -0.0311216 0.251061
50 80 250 280 -0.0152781 0.684816
50 80 240 270 -0.0207522 0.538113
50 90 280 320 -0.0249611 0.422072
50 90 300 340 -0.0218156 0.0787212
50 90 310 350 -0.0311262 0.101547
50 90 290 330 -0.0171475 0.921086
50 100 300 350 -0.031854 0.346065
50 100 350 400 -0.0278042 1.63839
50 100 370 420 -0.0185737 0.661096
50 100 340 390 -0.0262478 3.25244
50 110 360 420 -0.0265247 2.03654
50 110 420 480 -0.0165333 1.67798
50 110 380 440 -0.0170957 4.68693
50 110 390 450 -0.018486 2.83851
50 110 410 470 -0.01539 1.28527
50 110 430 490 -0.0240262 8.05183
50 120 420 490 -0.0153313 2.39882
50 120 490 560 -0.0178831 1.77603
50 120 440 510 -0.0143703 1.85986
50 120 450 520 -0.0122008 0.983941
50 120 460 530 -0.0134247 0.404751
50 120 470 540 -0.0138921 1.05176
50 130 480 560 -0.0128057 1.35511
50 130 560 640 -0.010146 5.85037
50 130 500 580 -0.0111022 1.10508
50 130 510 590 -0.0109612 2.3465
50 130 520 600 -0.0111267 2.29714
50 130 530 610 -0.00974373 2.57973
50 130 540 620 -0.0119304 2.69672
50 130 550 630 -0.00937634 2.66066
50 140 540 630 -0.0127127 2.95169
50 140 560 650 -0.0113553 4.47177
50 140 570 660 -0.00999291 3.77315
50 140 580 670 -0.00879319 1.27443
50 140 590 680 -0.00838475 1.99036
50 140 600 690 -0.00769805 2.84043
50 140 610 700 -0.00614776 3.54542
50 140 620 710 -0.00585314 4.10046
60 70 80 90 -3.42448 0.0403292
60 70 90 100 -0.751374 0.34233
60 70 100 110 -0.151911 0.559618
60 70 110 120 -0.0555439 0.632679
60 70 120 130 -0.0273935 0.0492624
60 80 120 140 -0.109525 0.82404
60 80 140 160 -0.045357 1.14484
60 80 150 170 -0.0381332 0.074361
60 80 170 190 -0.0261133 0.512431
60 80 160 180 -0.0327302 0.214995
60 80 180 200 -0.0151903 4.84312
60 80 190 210 -0.0259321 0.500175
60 90 220 250 -0.0352262 0.607982
60 90 210 240 -0.048017 1.23818
60 90 240 270 -0.0191977 1.09316
60 100 290 330 -0.0256495 2.99233
60 100 310 350 -0.0203156 4.8442
60 100 280 320 -0.0241621 0.817793
60 100 320 360 -0.0302857 0.448777
60 110 310 360 -0.030951 0.163351
60 110 360 410 -0.0275688 0.844125
60 110 330 380 -0.031325 4.15992
60 110 380 430 -0.0188087 1.73972
60 110 340 390 -0.0252747 2.23341
60 110 350 400 -0.0263128 2.03362
60 110 370 420 -0.0168995 3.65431
60 120 370 430 -0.0265247 0.521419
60 120 430 490 -0.0166977 1.28317
60 120 390 450 -0.0170957 1.86941
60 120 410 470 -0.0159279 0.756621
60 120 420 480 -0.01539 1.12116
60 130 430 500 -0.0153313 1.52617
60 130 500 570 -0.0178642 3.0081
60 130 450 520 -0.0143703 0.864722
60 130 460 530 -0.0122008 0.208971
60 130 470 540 -0.0134247 0.464174
60 130 480 550 -0.0138921 2.80115
60 130 490 560 -0.00984071 1.65376
60 140 490 570 -0.0128057 0.999256
60 140 570 650 -0.010146 2.58119
60 140 510 590 -0.0111022 5.95987
60 140 520 600 -0.0109612 4.52013
60 140 530 610 -0.0111267 8.42953
60 140 540 620 -0.00974373 7.4424
60 140 550 630 -0.0119304 5.92584
60 140 560 640 -0.00937634 4.86627
60 150 550 640 -0.0127127 2.89445
60 150 570 660 -0.0113553 4.13062
60 150 580 670 -0.00999291 0.0846665
60 150 590 680 -0.00879318 1.62654
60 150 600 690 -0.00838475 2.01492
60 150 610 700 -0.00769805 2.3473
60 150 620 710 -0.00614776 2.10033
70 80 90 100 -5.79651 0.0891482
70 80 100 110 -0.477497 0.529503
70 80 110 120 -0.144195 0.0627059
70 80 120 130 -0.051716 4.5919
70 80 130 140 -0.0268247 0.0995433
70 90 130 150 -0.104075 2.57857
70 90 150 170 -0.0468307 5.35466
70 90 160 180 -0.0398886 2.01519
70 90 180 200 -0.0261437 3.35262
70 90 170 190 -0.0330269 1.47937
70 90 190 210 -0.0151701 2.69443
70 90 200 220 -0.0271604 4.56479
70 100 200 230 -0.0522718 2.72703
70 100 230 260 -0.0380727 1.646
70 100 220 250 -0.0508977 1.01064
70 100 270 300 -0.0184378 14.6952
70 110 260 300 -0.0372336 3.80961
70 110 320 360 -0.0205963 1.70001
70 120 320 370 -0.0305356 1.17658
70 120 340 390 -0.0310393 0.984796
70 120 390 440 -0.0193575 9.58599
70 120 350 400 -0.0249568 1.00406
70 120 360 410 -0.0263679 1.29157
70 120 380 430 -0.0170928 3.35159
70 130 380 440 -0.026247 2.13446
70 130 400 460 -0.0171221 1.5339
70 130 410 470 -0.0187215 0.556278
70 130 420 480 -0.0159279 0.879473
70 130 430 490 -0.01539 1.14033
70 130 450 510 -0.0240262 1.11593
70 140 440 510 -0.0153313 1.53914
70 140 460 530 -0.0143703 1.22982
70 140 470 540 -0.0122008 1.20505
70 140 480 550 -0.0134247 2.05637
70 140 490 560 -0.0138921 1.95349
70 140 500 570 -0.00984071 2.01589
70 150 500 580 -0.0128057 1.53839
70 150 520 600 -0.0111022 1.85136
70 150 530 610 -0.0109612 1.96725
70 150 540 620 -0.0111267 1.86902
70 150 550 630 -0.00974373 2.16443
70 150 560 640 -0.0119304 2.01255
70 150 570 650 -0.00937634 2.01308
70 160 560 650 -0.0127127 1.85322
70 160 580 670 -0.0113553 1.13651
70 160 590 680 -0.00999291 2.35067
70 160 600 690 -0.00879319 1.75035
70 160 610 700 -0.00838475 2.86475
70 160 620 710 -0.00769805 3.40615
80 90 100 110 -3.62053 0.0762909
80 90 110 120 -0.404698 0.402428
80 90 120 130 -0.137653 0.182061
80 90 130 140 -0.0505556 0.763537
80 90 140 150 -0.0298662 2.752
80 90 150 160 -0.0271825 4.22251
80 100 140 160 -0.110706 2.51651
80 100 190 210 -0.0261437 0.636542
80 100 180 200 -0.0337353 4.3736
80 100 210 230 -0.0289543 3.54553
80 110 210 240 -0.0554744 1.09518
80 110 240 270 -0.0407638 0.268629
80 110 230 260 -0.0514362 3.07309
80 110 260 290 -0.0186824 2.18091
80 110 280 310 -0.0207263 1.34988
80 120 270 310 -0.0342023 0.494891
80 120 310 350 -0.0256495 3.51006
80 120 290 330 -0.0204689 3.60244
80 120 330 370 -0.0214247 0.307096
80 120 340 380 -0.0301126 0.529435
80 120 320 360 -0.0175597 0.839684
80 130 330 380 -0.0296767 0.746886
80 130 380 430 -0.0274097 1.01799
80 130 350 400 -0.0305222 0.859631
80 130 400 450 -0.0197782 0.532257
80 130 360 410 -0.0245065 0.245602
80 130 370 420 -0.0262827 0.493143
80 130 390 440 -0.0173291 2.46965
80 140 390 450 -0.0262702 0.388052
80 140 450 510 -0.0168348 0.302808
80 140 410 470 -0.0173511 0.137617
80 140 420 480 -0.0187215 0.30824
80 140 430 490 -0.0159279 2.09139
80 140 440 500 -0.0159527 4.87548
80 140 460 520 -0.0240262 0.84467
80 150 450 520 -0.0153313 0.223565
80 150 520 590 -0.0178336 0.777412
80 150 470 540 -0.0143703 0.416659
80 150 490 560 -0.0134247 2.906
80 150 500 570 -0.0138921 1.14142
80 160 510 590 -0.012797 18.5325
80 160 590 670 -0.010146 1.15404
80 160 550 630 -0.0111267 15.9639
80 160 560 640 -0.00974373 4.92353
80 170 590 680 -0.0113553 0.729622
80 170 600 690 -0.00999291 4.42547
80 170 610 700 -0.00879319 2.31861
80 170 620 710 -0.00838475 4.27898
90 100 110 120 -4.17137 0.0468221
90 100 120 130 -0.404698 0.526336
90 100 130 140 -0.138838 1.356
90 100 140 150 -0.0517062 0.0301822
90 100 150 160 -0.0262312 4.56061
90 110 150 170 -0.130482 1.93352
90 110 170 190 -0.0501502 3.45244
90 110 180 200 -0.0476337 2.10722
90 110 200 220 -0.0261312 4.60569
90 110 190 210 -0.0338618 1.59886
90 110 210 230 -0.015613 3.49784
90 110 220 240 -0.0300651 7.83715
90 120 220 250 -0.0569657 4.50649
90 120 250 280 -0.0423001 1.95332
90 120 240 270 -0.0528432 1.30647
90 120 270 300 -0.0213064 2.72598
90 120 260 290 -0.030979 2.61628
90 120 280 310 -0.0215421 3.07231
90 130 320 360 -0.0272202 2.06646
90 130 300 340 -0.019638 2.1683
90 140 390 440 -0.0269607 4.09677
90 140 360 410 -0.0298759 1.34998
90 140 410 460 -0.0200039 6.85446
