,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
80,130.0,0.0,140.0,0.0,150.0,0.0,150.0,0.0,-8.768100436990725,0.4384050218495362
81,130.0,0.0,140.0,0.0,160.0,0.0,160.0,0.0,-3.505137949827533,0.17525689749137666
82,130.0,0.0,140.0,0.0,170.0,0.0,170.0,0.0,-1.7844916792752912,0.08922458396376456
83,130.0,0.0,140.0,0.0,180.0,0.0,180.0,0.0,-1.196597959482535,0.059829897974126744
84,130.0,0.0,140.0,0.0,190.0,0.0,190.0,0.0,-0.8631149889264829,0.043155749446324145
85,170.0,0.0,180.0,0.0,190.0,0.0,190.0,0.0,-8.891226716232753,0.4445613358116376
86,70.0,0.0,80.0,0.0,90.0,0.0,90.0,0.0,-6.4092364986589,0.320461824932945
87,70.0,0.0,80.0,0.0,100.0,0.0,100.0,0.0,-1.4690316710063478,0.07345158355031739
88,70.0,0.0,80.0,0.0,110.0,0.0,110.0,0.0,-1.0614766768510804,0.05307383384255402
89,70.0,0.0,80.0,0.0,120.0,0.0,120.0,0.0,-0.6809254100770751,0.034046270503853754
90,70.0,0.0,80.0,0.0,130.0,0.0,130.0,0.0,-0.5613374434241362,0.028066872171206805
91,70.0,0.0,80.0,0.0,140.0,0.0,140.0,0.0,-0.4334493131937827,0.021672465659689135
92,70.0,0.0,80.0,0.0,150.0,0.0,150.0,0.0,-0.37084418293127985,0.018542209146563994
93,70.0,0.0,80.0,0.0,160.0,0.0,160.0,0.0,-0.369757991156741,0.01848789955783705
94,90.0,0.0,100.0,0.0,110.0,0.0,110.0,0.0,-4.761092928998133,0.23805464644990665
95,90.0,0.0,100.0,0.0,120.0,0.0,120.0,0.0,-0.939391096565729,0.04696955482828644
96,90.0,0.0,100.0,0.0,130.0,0.0,130.0,0.0,-0.47283158939507064,0.023641579469753534
97,90.0,0.0,100.0,0.0,140.0,0.0,140.0,0.0,-0.30589491482948117,0.015294745741474058
98,90.0,0.0,100.0,0.0,150.0,0.0,150.0,0.0,-0.23123250981046128,0.011561625490523064
99,90.0,0.0,100.0,0.0,160.0,0.0,160.0,0.0,-0.1853026218650237,0.009265131093251184
100,90.0,0.0,100.0,0.0,170.0,0.0,170.0,0.0,-0.15310818516314872,0.007655409258157437
101,90.0,0.0,100.0,0.0,180.0,0.0,180.0,0.0,-0.14927632531892213,0.007463816265946106
102,110.0,0.0,120.0,0.0,130.0,0.0,130.0,0.0,-10.332476341547805,0.5166238170773902
103,110.0,0.0,120.0,0.0,140.0,0.0,140.0,0.0,-3.8311014549071967,0.19155507274535985
104,110.0,0.0,120.0,0.0,150.0,0.0,150.0,0.0,-1.9499065034126626,0.09749532517063314
105,110.0,0.0,120.0,0.0,160.0,0.0,160.0,0.0,-1.23969537988143,0.06198476899407151
106,110.0,0.0,120.0,0.0,170.0,0.0,170.0,0.0,-0.9502812605247134,0.047514063026235676
107,110.0,0.0,120.0,0.0,180.0,0.0,180.0,0.0,-0.7863346290495776,0.03931673145247888
108,110.0,0.0,120.0,0.0,190.0,0.0,190.0,0.0,-0.6714609715919599,0.033573048579597996
109,140.0,0.0,150.0,0.0,160.0,0.0,160.0,0.0,-9.087510733850186,0.4543755366925093
110,140.0,0.0,150.0,0.0,170.0,0.0,170.0,0.0,-3.2843808350295736,0.1642190417514787
111,140.0,0.0,150.0,0.0,180.0,0.0,180.0,0.0,-1.7016719459075131,0.08508359729537565
112,140.0,0.0,150.0,0.0,190.0,0.0,190.0,0.0,-1.148978103160906,0.05744890515804531
113,150.0,0.0,160.0,0.0,170.0,0.0,170.0,0.0,-8.911149553420788,0.44555747767103937
114,150.0,0.0,160.0,0.0,180.0,0.0,180.0,0.0,-3.2462491383265175,0.16231245691632587
115,150.0,0.0,160.0,0.0,190.0,0.0,190.0,0.0,-1.7286862009572335,0.08643431004786167
