,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
85,130.0,0.0,130.0,0.0,180.0,0.0,190.0,0.0,0.4681839504167086,0.02340919752083543
86,130.0,0.0,130.0,0.0,190.0,0.0,200.0,0.0,0.36439054741538524,0.018219527370769262
87,130.0,0.0,130.0,0.0,200.0,0.0,210.0,0.0,0.31455292473240676,0.01572764623662034
88,170.0,0.0,170.0,0.0,190.0,0.0,200.0,0.0,3.0052794666750926,0.15026397333375463
89,170.0,0.0,170.0,0.0,200.0,0.0,210.0,0.0,1.4460736907637972,0.07230368453818986
90,70.0,0.0,70.0,0.0,90.0,0.0,100.0,0.0,2.0275521713719473,0.10137760856859737
91,70.0,0.0,70.0,0.0,100.0,0.0,110.0,0.0,0.49666759307795505,0.024833379653897755
92,70.0,0.0,70.0,0.0,110.0,0.0,120.0,0.0,0.6374654442041884,0.03187327221020942
93,70.0,0.0,70.0,0.0,120.0,0.0,130.0,0.0,0.5041827398855223,0.025209136994276116
94,70.0,0.0,70.0,0.0,130.0,0.0,140.0,0.0,0.402920952625676,0.0201460476312838
95,70.0,0.0,70.0,0.0,140.0,0.0,150.0,0.0,0.3143987285622506,0.015719936428112532
96,70.0,0.0,70.0,0.0,150.0,0.0,160.0,0.0,0.27960147379709466,0.013980073689854733
97,70.0,0.0,70.0,0.0,160.0,0.0,170.0,0.0,0.24495091713511097,0.012247545856755549
98,90.0,0.0,90.0,0.0,110.0,0.0,120.0,0.0,1.4576332212899927,0.07288166106449964
99,90.0,0.0,90.0,0.0,120.0,0.0,130.0,0.0,0.9714645452596365,0.04857322726298183
100,90.0,0.0,90.0,0.0,130.0,0.0,140.0,0.0,0.6672525609647884,0.03336262804823942
101,90.0,0.0,90.0,0.0,140.0,0.0,150.0,0.0,0.5029786479524443,0.025148932397622215
102,90.0,0.0,90.0,0.0,150.0,0.0,160.0,0.0,0.37762201503457676,0.01888110075172884
103,90.0,0.0,90.0,0.0,160.0,0.0,170.0,0.0,0.3183741033219128,0.01591870516609564
104,90.0,0.0,90.0,0.0,170.0,0.0,180.0,0.0,0.2609950208522973,0.013049751042614865
105,90.0,0.0,90.0,0.0,180.0,0.0,190.0,0.0,0.21500293564496903,0.01075014678224845
